0,1,ACEH
0,6728,"SUMATERA UTARA"
0,12920,"SUMATERA BARAT"
0,14086,RIAU
0,15885,JAMBI
0,17404,"SUMATERA SELATAN"
0,20802,BENGKULU
0,22328,LAMPUNG
0,24993,"KEPULAUAN BANGKA BELITUNG"
0,25405,"KEPULAUAN RIAU"
0,25823,"DKI JAKARTA"
0,26141,"JAWA BARAT"
0,32676,"JAWA TENGAH"
0,41863,"DAERAH ISTIMEWA YOGYAKARTA"
0,42385,"JAWA TIMUR"
0,51578,BANTEN
0,53241,BALI
0,54020,"NUSA TENGGARA BARAT"
0,55065,"NUSA TENGGARA TIMUR"
0,58285,"KALIMANTAN BARAT"
0,60371,"KALIMANTAN TENGAH"
0,61965,"KALIMANTAN SELATAN"
0,64111,"KALIMANTAN TIMUR"
0,65702,"SULAWESI UTARA"
0,67393,"SULAWESI TENGAH"
0,69268,"SULAWESI SELATAN"
0,72551,"SULAWESI TENGGARA"
0,74716,GORONTALO
0,75425,"SULAWESI BARAT"
0,76096,MALUKU
0,77085,"MALUKU UTARA"
0,78203,PAPUA
0,81877,"PAPUA BARAT"
